id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2020
6279,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,km,km,kg N2O,Articulated (>3.5 - 33t) km HGV refrigerated (all diesel),0.01341
6280,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,miles,miles,kg CO2e,Articulated (>3.5 - 33t) miles HGV refrigerated (all diesel),1.44518
6281,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,miles,miles,kg CH4,Articulated (>3.5 - 33t) miles HGV refrigerated (all diesel),0.00016
6282,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,miles,miles,kg CO2,Articulated (>3.5 - 33t) miles HGV refrigerated (all diesel),1.42344
6283,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,miles,miles,kg N2O,Articulated (>3.5 - 33t) miles HGV refrigerated (all diesel),0.02159
6284,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,tonne.km,tonne.km,kg CO2e,Articulated (>3.5 - 33t) tonne.km HGV refrigerated (all diesel),0.16414
6285,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,tonne.km,tonne.km,kg CH4,Articulated (>3.5 - 33t) tonne.km HGV refrigerated (all diesel),0.00002
6286,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,tonne.km,tonne.km,kg CO2,Articulated (>3.5 - 33t) tonne.km HGV refrigerated (all diesel),0.16167
6287,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),,Average laden,tonne.km,tonne.km,kg N2O,Articulated (>3.5 - 33t) tonne.km HGV refrigerated (all diesel),0.00245
6288,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,km,km,kg CO2e,Articulated (>33t) km HGV refrigerated (all diesel),0.75427
6289,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,km,km,kg CH4,Articulated (>33t) km HGV refrigerated (all diesel),0.00012
6290,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,km,km,kg CO2,Articulated (>33t) km HGV refrigerated (all diesel),0.73819
6291,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,km,km,kg N2O,Articulated (>33t) km HGV refrigerated (all diesel),0.01596
6292,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,miles,miles,kg CO2e,Articulated (>33t) miles HGV refrigerated (all diesel),1.21388
6293,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,miles,miles,kg CH4,Articulated (>33t) miles HGV refrigerated (all diesel),0.00019
6294,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,miles,miles,kg CO2,Articulated (>33t) miles HGV refrigerated (all diesel),1.18801
6295,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,miles,miles,kg N2O,Articulated (>33t) miles HGV refrigerated (all diesel),0.02569
6296,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,tonne.km,tonne.km,kg CO2e,Articulated (>33t) tonne.km HGV refrigerated (all diesel),
6297,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,tonne.km,tonne.km,kg CH4,Articulated (>33t) tonne.km HGV refrigerated (all diesel),
6298,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,tonne.km,tonne.km,kg CO2,Articulated (>33t) tonne.km HGV refrigerated (all diesel),
6299,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,0% Laden,tonne.km,tonne.km,kg N2O,Articulated (>33t) tonne.km HGV refrigerated (all diesel),
6300,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,km,km,kg CO2e,Articulated (>33t) km HGV refrigerated (all diesel),1.00034
6301,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,km,km,kg CH4,Articulated (>33t) km HGV refrigerated (all diesel),0.00012
6302,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,km,km,kg CO2,Articulated (>33t) km HGV refrigerated (all diesel),0.98426
6303,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,km,km,kg N2O,Articulated (>33t) km HGV refrigerated (all diesel),0.01596
6304,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,miles,miles,kg CO2e,Articulated (>33t) miles HGV refrigerated (all diesel),1.60989
6305,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,miles,miles,kg CH4,Articulated (>33t) miles HGV refrigerated (all diesel),0.00019
6306,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,miles,miles,kg CO2,Articulated (>33t) miles HGV refrigerated (all diesel),1.58401
6307,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,miles,miles,kg N2O,Articulated (>33t) miles HGV refrigerated (all diesel),0.02569
6308,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,tonne.km,tonne.km,kg CO2e,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.10775
6309,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,tonne.km,tonne.km,kg CH4,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.00001
6310,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,tonne.km,tonne.km,kg CO2,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.10602
6311,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,50% Laden,tonne.km,tonne.km,kg N2O,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.00172
6312,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,km,km,kg CO2e,Articulated (>33t) km HGV refrigerated (all diesel),1.2464
6313,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,km,km,kg CH4,Articulated (>33t) km HGV refrigerated (all diesel),0.00012
6314,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,km,km,kg CO2,Articulated (>33t) km HGV refrigerated (all diesel),1.23032
6315,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,km,km,kg N2O,Articulated (>33t) km HGV refrigerated (all diesel),0.01596
6316,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,miles,miles,kg CO2e,Articulated (>33t) miles HGV refrigerated (all diesel),2.00589
6317,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,miles,miles,kg CH4,Articulated (>33t) miles HGV refrigerated (all diesel),0.00019
6318,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,miles,miles,kg CO2,Articulated (>33t) miles HGV refrigerated (all diesel),1.98002
6319,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,miles,miles,kg N2O,Articulated (>33t) miles HGV refrigerated (all diesel),0.02569
6320,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,tonne.km,tonne.km,kg CO2e,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.06713
6321,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,tonne.km,tonne.km,kg CH4,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.00001
6322,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,tonne.km,tonne.km,kg CO2,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.06626
6323,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,100% Laden,tonne.km,tonne.km,kg N2O,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.00086
6324,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,km,km,kg CO2e,Articulated (>33t) km HGV refrigerated (all diesel),1.06924
6325,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,km,km,kg CH4,Articulated (>33t) km HGV refrigerated (all diesel),0.00012
6326,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,km,km,kg CO2,Articulated (>33t) km HGV refrigerated (all diesel),1.05316
6327,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,km,km,kg N2O,Articulated (>33t) km HGV refrigerated (all diesel),0.01596
6328,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,miles,miles,kg CO2e,Articulated (>33t) miles HGV refrigerated (all diesel),1.72077
6329,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,miles,miles,kg CH4,Articulated (>33t) miles HGV refrigerated (all diesel),0.00019
6330,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,miles,miles,kg CO2,Articulated (>33t) miles HGV refrigerated (all diesel),1.69489
6331,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,miles,miles,kg N2O,Articulated (>33t) miles HGV refrigerated (all diesel),0.02569
6332,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,tonne.km,tonne.km,kg CO2e,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.08998
6333,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,tonne.km,tonne.km,kg CH4,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.00001
6334,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,tonne.km,tonne.km,kg CO2,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.08863
6335,Scope 3,Freighting goods,HGV refrigerated (all diesel),Articulated (>33t),,Average laden,tonne.km,tonne.km,kg N2O,Articulated (>33t) tonne.km HGV refrigerated (all diesel),0.00134
6336,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,km,km,kg CO2e,All artics km HGV refrigerated (all diesel),0.75391
6337,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,km,km,kg CH4,All artics km HGV refrigerated (all diesel),0.00011
6338,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,km,km,kg CO2,All artics km HGV refrigerated (all diesel),0.73797
6339,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,km,km,kg N2O,All artics km HGV refrigerated (all diesel),0.01583
6340,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,miles,miles,kg CO2e,All artics miles HGV refrigerated (all diesel),1.2133
6341,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,miles,miles,kg CH4,All artics miles HGV refrigerated (all diesel),0.00018
6342,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,miles,miles,kg CO2,All artics miles HGV refrigerated (all diesel),1.18765
6343,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,miles,miles,kg N2O,All artics miles HGV refrigerated (all diesel),0.02547
6344,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km HGV refrigerated (all diesel),
6345,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,tonne.km,tonne.km,kg CH4,All artics tonne.km HGV refrigerated (all diesel),
6346,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,tonne.km,tonne.km,kg CO2,All artics tonne.km HGV refrigerated (all diesel),
6347,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,0% Laden,tonne.km,tonne.km,kg N2O,All artics tonne.km HGV refrigerated (all diesel),
6348,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,km,km,kg CO2e,All artics km HGV refrigerated (all diesel),0.9966
6349,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,km,km,kg CH4,All artics km HGV refrigerated (all diesel),0.00011
6350,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,km,km,kg CO2,All artics km HGV refrigerated (all diesel),0.98066
6351,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,km,km,kg N2O,All artics km HGV refrigerated (all diesel),0.01583
6352,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,miles,miles,kg CO2e,All artics miles HGV refrigerated (all diesel),1.60387
6353,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,miles,miles,kg CH4,All artics miles HGV refrigerated (all diesel),0.00018
6354,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,miles,miles,kg CO2,All artics miles HGV refrigerated (all diesel),1.57822
6355,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,miles,miles,kg N2O,All artics miles HGV refrigerated (all diesel),0.02547
6356,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km HGV refrigerated (all diesel),0.10883
6357,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,tonne.km,tonne.km,kg CH4,All artics tonne.km HGV refrigerated (all diesel),0.00001
6358,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,tonne.km,tonne.km,kg CO2,All artics tonne.km HGV refrigerated (all diesel),0.10709
6359,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,50% Laden,tonne.km,tonne.km,kg N2O,All artics tonne.km HGV refrigerated (all diesel),0.00173
6360,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,km,km,kg CO2e,All artics km HGV refrigerated (all diesel),1.23929
6361,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,km,km,kg CH4,All artics km HGV refrigerated (all diesel),0.00011
6362,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,km,km,kg CO2,All artics km HGV refrigerated (all diesel),1.22335
6363,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,km,km,kg N2O,All artics km HGV refrigerated (all diesel),0.01583
6364,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,miles,miles,kg CO2e,All artics miles HGV refrigerated (all diesel),1.99444
6365,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,miles,miles,kg CH4,All artics miles HGV refrigerated (all diesel),0.00018
6366,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,miles,miles,kg CO2,All artics miles HGV refrigerated (all diesel),1.96879
6367,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,miles,miles,kg N2O,All artics miles HGV refrigerated (all diesel),0.02547
6368,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km HGV refrigerated (all diesel),0.06767
6369,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,tonne.km,tonne.km,kg CH4,All artics tonne.km HGV refrigerated (all diesel),0.00001
6370,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,tonne.km,tonne.km,kg CO2,All artics tonne.km HGV refrigerated (all diesel),0.06679
6371,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,100% Laden,tonne.km,tonne.km,kg N2O,All artics tonne.km HGV refrigerated (all diesel),0.00086
6372,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,km,km,kg CO2e,All artics km HGV refrigerated (all diesel),1.06
6373,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,km,km,kg CH4,All artics km HGV refrigerated (all diesel),0.00011
6374,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,km,km,kg CO2,All artics km HGV refrigerated (all diesel),1.04406
6375,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,km,km,kg N2O,All artics km HGV refrigerated (all diesel),0.01583
6376,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,miles,miles,kg CO2e,All artics miles HGV refrigerated (all diesel),1.7059
6377,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,miles,miles,kg CH4,All artics miles HGV refrigerated (all diesel),0.00018
6378,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,miles,miles,kg CO2,All artics miles HGV refrigerated (all diesel),1.68024
6379,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,miles,miles,kg N2O,All artics miles HGV refrigerated (all diesel),0.02547
6380,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,tonne.km,tonne.km,kg CO2e,All artics tonne.km HGV refrigerated (all diesel),0.09187
6381,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,tonne.km,tonne.km,kg CH4,All artics tonne.km HGV refrigerated (all diesel),0.00001
6382,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,tonne.km,tonne.km,kg CO2,All artics tonne.km HGV refrigerated (all diesel),0.09048
6383,Scope 3,Freighting goods,HGV refrigerated (all diesel),All artics,,Average laden,tonne.km,tonne.km,kg N2O,All artics tonne.km HGV refrigerated (all diesel),0.00137
6384,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,km,km,kg CO2e,All HGVs km HGV refrigerated (all diesel),0.77072
6385,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,km,km,kg CH4,All HGVs km HGV refrigerated (all diesel),0.00013
6386,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,km,km,kg CO2,All HGVs km HGV refrigerated (all diesel),0.7575
6387,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,km,km,kg N2O,All HGVs km HGV refrigerated (all diesel),0.01308
6388,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,miles,miles,kg CO2e,All HGVs miles HGV refrigerated (all diesel),1.24036
6389,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,miles,miles,kg CH4,All HGVs miles HGV refrigerated (all diesel),0.00022
6390,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,miles,miles,kg CO2,All HGVs miles HGV refrigerated (all diesel),1.21908
6391,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,miles,miles,kg N2O,All HGVs miles HGV refrigerated (all diesel),0.02106
6392,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km HGV refrigerated (all diesel),
6393,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,tonne.km,tonne.km,kg CH4,All HGVs tonne.km HGV refrigerated (all diesel),
6394,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,tonne.km,tonne.km,kg CO2,All HGVs tonne.km HGV refrigerated (all diesel),
6395,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,0% Laden,tonne.km,tonne.km,kg N2O,All HGVs tonne.km HGV refrigerated (all diesel),
6396,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,km,km,kg CO2e,All HGVs km HGV refrigerated (all diesel),0.97286
6397,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,km,km,kg CH4,All HGVs km HGV refrigerated (all diesel),0.00013
6398,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,km,km,kg CO2,All HGVs km HGV refrigerated (all diesel),0.95964
6399,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,km,km,kg N2O,All HGVs km HGV refrigerated (all diesel),0.01308
6400,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,miles,miles,kg CO2e,All HGVs miles HGV refrigerated (all diesel),1.56567
6401,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,miles,miles,kg CH4,All HGVs miles HGV refrigerated (all diesel),0.00022
6402,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,miles,miles,kg CO2,All HGVs miles HGV refrigerated (all diesel),1.54439
6403,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,miles,miles,kg N2O,All HGVs miles HGV refrigerated (all diesel),0.02106
6404,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km HGV refrigerated (all diesel),0.14606
6405,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,tonne.km,tonne.km,kg CH4,All HGVs tonne.km HGV refrigerated (all diesel),0.00002
6406,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,tonne.km,tonne.km,kg CO2,All HGVs tonne.km HGV refrigerated (all diesel),0.14407
6407,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,50% Laden,tonne.km,tonne.km,kg N2O,All HGVs tonne.km HGV refrigerated (all diesel),0.00196
6408,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,km,km,kg CO2e,All HGVs km HGV refrigerated (all diesel),1.175
6409,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,km,km,kg CH4,All HGVs km HGV refrigerated (all diesel),0.00013
6410,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,km,km,kg CO2,All HGVs km HGV refrigerated (all diesel),1.16178
6411,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,km,km,kg N2O,All HGVs km HGV refrigerated (all diesel),0.01308
6412,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,miles,miles,kg CO2e,All HGVs miles HGV refrigerated (all diesel),1.89098
6413,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,miles,miles,kg CH4,All HGVs miles HGV refrigerated (all diesel),0.00022
6414,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,miles,miles,kg CO2,All HGVs miles HGV refrigerated (all diesel),1.8697
6415,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,miles,miles,kg N2O,All HGVs miles HGV refrigerated (all diesel),0.02106
6416,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km HGV refrigerated (all diesel),0.0882
6417,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,tonne.km,tonne.km,kg CH4,All HGVs tonne.km HGV refrigerated (all diesel),0.00001
6418,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,tonne.km,tonne.km,kg CO2,All HGVs tonne.km HGV refrigerated (all diesel),0.08721
6419,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,100% Laden,tonne.km,tonne.km,kg N2O,All HGVs tonne.km HGV refrigerated (all diesel),0.00098
6420,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,km,km,kg CO2e,All HGVs km HGV refrigerated (all diesel),1.0142
6421,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,km,km,kg CH4,All HGVs km HGV refrigerated (all diesel),0.00013
6422,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,km,km,kg CO2,All HGVs km HGV refrigerated (all diesel),1.00099
6423,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,km,km,kg N2O,All HGVs km HGV refrigerated (all diesel),0.01308
6424,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,miles,miles,kg CO2e,All HGVs miles HGV refrigerated (all diesel),1.6322
6425,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,miles,miles,kg CH4,All HGVs miles HGV refrigerated (all diesel),0.00022
6426,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,miles,miles,kg CO2,All HGVs miles HGV refrigerated (all diesel),1.61093
6427,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,miles,miles,kg N2O,All HGVs miles HGV refrigerated (all diesel),0.02106
6428,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,tonne.km,tonne.km,kg CO2e,All HGVs tonne.km HGV refrigerated (all diesel),0.12481
6429,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,tonne.km,tonne.km,kg CH4,All HGVs tonne.km HGV refrigerated (all diesel),0.00002
6430,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,tonne.km,tonne.km,kg CO2,All HGVs tonne.km HGV refrigerated (all diesel),0.12318
6431,Scope 3,Freighting goods,HGV refrigerated (all diesel),All HGVs,,Average laden,tonne.km,tonne.km,kg N2O,All HGVs tonne.km HGV refrigerated (all diesel),0.00161
6432,Scope 3,Freighting goods,Freight flights,"Domestic, to/from UK",,With RF,tonne.km,tonne.km,kg CO2e,"Domestic, to/from UK",4.76719
6433,Scope 3,Freighting goods,Freight flights,"Domestic, to/from UK",,With RF,tonne.km,tonne.km,kg CH4,"Domestic, to/from UK",0.00224
6434,Scope 3,Freighting goods,Freight flights,"Domestic, to/from UK",,With RF,tonne.km,tonne.km,kg CO2,"Domestic, to/from UK",4.74134
6435,Scope 3,Freighting goods,Freight flights,"Domestic, to/from UK",,With RF,tonne.km,tonne.km,kg N2O,"Domestic, to/from UK",0.02361
6436,Scope 3,Freighting goods,Freight flights,"Domestic, to/from UK",,Without RF,tonne.km,tonne.km,kg CO2e,"Domestic, to/from UK",2.52129
6437,Scope 3,Freighting goods,Freight flights,"Domestic, to/from UK",,Without RF,tonne.km,tonne.km,kg CH4,"Domestic, to/from UK",0.00224
6438,Scope 3,Freighting goods,Freight flights,"Domestic, to/from UK",,Without RF,tonne.km,tonne.km,kg CO2,"Domestic, to/from UK",2.49544
6439,Scope 3,Freighting goods,Freight flights,"Domestic, to/from UK",,Without RF,tonne.km,tonne.km,kg N2O,"Domestic, to/from UK",0.02361
6440,Scope 3,Freighting goods,Freight flights,"Short-haul, to/from UK",,With RF,tonne.km,tonne.km,kg CO2e,"Short-haul, to/from UK",2.20946
6441,Scope 3,Freighting goods,Freight flights,"Short-haul, to/from UK",,With RF,tonne.km,tonne.km,kg CH4,"Short-haul, to/from UK",0.00008
6442,Scope 3,Freighting goods,Freight flights,"Short-haul, to/from UK",,With RF,tonne.km,tonne.km,kg CO2,"Short-haul, to/from UK",2.19843
6443,Scope 3,Freighting goods,Freight flights,"Short-haul, to/from UK",,With RF,tonne.km,tonne.km,kg N2O,"Short-haul, to/from UK",0.01095
